# Legalization file
2360 148   0.0 0.0     1.0 16.0
5283   1866.9152 1053.1743    14 16
5284   1835.4258 1987.967    14 16
5285   1229.0717 1746.9465    8 16
5286   104.281456 565.48334    6 16
5287   262.21625 194.54175    6 16
5288   358.96292 2027.1978    12 16
5289   1019.72205 526.6045    8 16
5290   639.04565 1457.5457    10 16
5291   270.79022 1035.0219    12 16
5292   401.80695 1500.54    8 16
5293   215.90848 1583.8767    18 16
5294   1320.5533 2024.8765    8 16
5295   1190.3545 1399.3943    6 16
5296   957.02747 296.08765    8 16
5297   1607.1484 2179.3564    14 16
5298   477.73505 1466.0826    14 16
5299   1763.0837 1386.1831    14 16
5300   78.61031 1858.7571    8 16
5301   1247.6401 351.45813    14 16
5302   121.82924 2023.6621    8 16
5303   412.21686 17.212925    8 16
5304   978.33875 2301.4658    18 16
5305   579.2328 712.3411    6 16
5306   1814.1614 475.3244    8 16
5307   104.7176 1796.4852    8 16
5308   1529.6898 1509.7842    14 16
5309   300.98718 1887.5265    8 16
5310   1590.5759 1234.0942    8 16
5311   631.95325 0.8000536    14 16
5312   1418.2446 263.68182    14 16
5313   386.349 1891.9788    12 16
5314   1258.9302 296.22546    14 16
5315   452.73743 2129.8923    14 16
5316   695.69446 314.2486    6 16
5317   187.02945 1068.7665    12 16
5318   94.65166 930.817    6 16
5319   619.39 285.02612    6 16
5320   156.31827 204.50055    8 16
5321   958.41235 1601.3396    18 16
5322   1737.7656 338.39426    14 16
5323   704.5304 567.40106    12 16
5324   1872.9835 1392.3502    14 16
5325   352.0153 1388.3796    12 16
5326   1118.2505 724.3693    6 16
5327   1810.3214 1872.1099    8 16
5328   409.9664 1233.5903    12 16
5329   960.42883 1911.4526    18 16
5330   835.65454 1843.6991    10 16
5331   1599.366 80.45424    6 16
5332   1617.5603 1207.8059    14 16
5333   1798.5747 47.425827    8 16
5334   1792.9375 1891.1074    4 16
5335   572.3078 1101.94    12 16
5336   1024.7904 1273.3386    14 16
5337   1645.9362 1421.3231    2 16
5338   253.6807 1041.3998    6 16
5339   1150.5194 774.7893    8 16
5340   1203.9515 -0.38654518    8 16
5341   476.3062 974.1084    2 16
5342   1098.741 1692.5647    8 16
5343   622.5668 851.73694    6 16
5344   1577.9199 512.5514    8 16
5345   1001.7218 616.9852    8 16
5346   1648.1694 1761.8182    14 16
5347   309.1229 1181.6211    10 16
5348   1341.4712 1854.0669    2 16
5349   194.51561 1325.564    6 16
5350   170.21468 2232.7139    10 16
5351   164.79074 982.483    14 16
5352   1867.2615 1831.4397    8 16
5353   1578.1033 343.56494    14 16
5354   768.33325 1037.4578    6 16
5355   719.4708 314.24854    6 16
5356   1385.5964 1795.8103    6 16
5357   1809.5481 1270.7634    14 16
5358   569.9177 1762.8558    6 16
5359   333.10593 1396.0925    6 16
5360   85.64787 1699.9149    8 16
5361   661.8701 1141.9955    6 16
5362   552.08704 1229.312    14 16
5363   1781.4666 772.7826    14 16
5364   872.7211 233.57619    14 16
5365   1842.1763 1591.3593    14 16
5366   1494.488 1069.2063    8 16
5367   1311.2314 210.38513    8 16
5368   686.32446 329.62622    10 16
5369   1750.8372 1938.7606    6 16
5370   755.2057 256.37524    6 16
5371   795.4064 324.74155    6 16
5372   931.6251 2178.4995    20 16
5373   207.95898 1778.7069    18 16
5374   1708.0928 1912.5393    14 16
5375   86.21451 1670.6868    14 16
5376   1481.9861 1210.3066    8 16
5377   1867.7148 1086.3542    14 16
5378   1190.0203 1632.1096    14 16
5379   781.5239 1661.7227    6 16
5380   614.6047 511.86554    12 16
5381   1853.3809 1331.2545    8 16
5382   1513.6077 1935.3083    14 16
5383   471.67804 1335.1058    14 16
5384   1259.2875 480.65356    18 16
5385   425.5216 1329.5049    6 16
5386   843.6421 1575.5925    14 16
5387   671.97705 1307.4791    14 16
5388   625.3573 1834.2993    14 16
5389   915.5487 382.5531    8 16
5390   483.8963 413.64905    12 16
5391   1679.4575 854.52026    14 16
5392   252.0495 1486.8633    10 16
5393   1057.4768 233.48471    8 16
5394   316.43127 310.1831    6 16
5395   994.7598 1221.1824    14 16
5396   1096.7971 545.3552    8 16
5397   813.4346 1719.6681    12 16
5398   867.3152 960.0142    6 16
5399   1573.5197 64.085846    14 16
5400   708.25964 1373.1643    10 16
5401   476.3062 978.6709    2 16
5402   1781.5858 80.109924    8 16
5403   586.43005 2287.9211    12 16
5404   83.03209 2020.6709    14 16
5405   441.6539 1797.8223    14 16
5406   1148.9554 1216.5718    14 16
5407   950.74744 1266.106    8 16
5408   794.6353 1070.3748    8 16
5409   821.09656 1481.6342    6 16
5410   1499.413 2082.281    14 16
5411   1623.3218 1518.9756    14 16
5412   1196.4617 1507.5532    8 16
5413   1190.8535 110.58862    8 16
5414   1737.0967 1617.3873    14 16
5415   1272.208 1746.5259    8 16
5416   673.47644 1192.7681    8 16
5417   702.6616 -0.6500883    14 16
5418   989.7731 2333.8926    18 16
5419   891.3262 894.57196    10 16
5420   308.37787 1746.8748    12 16
5421   1361.9875 449.65924    10 16
5422   398.87637 799.2009    14 16
5423   1041.09 1975.4213    14 16
5424   649.843 780.75635    6 16
5425   1236.5063 406.1769    2 16
5426   315.66022 694.5933    8 16
5427   1098.5735 1004.3286    8 16
5428   335.14728 1992.0957    6 16
5429   160.7175 1761.3623    8 16
5430   417.53253 275.81195    10 16
5431   753.1534 2303.6064    14 16
5432   848.65186 864.67633    14 16
5433   1609.7311 2298.268    8 16
5434   1056.2158 648.18164    8 16
5435   778.7594 2046.4111    8 16
5436   1835.1799 1661.657    8 16
5437   1418.501 1678.2781    14 16
5438   1780.9866 1331.6621    14 16
5439   176.72899 257.07477    8 16
5440   1023.4988 1714.8723    8 16
5441   900.9278 2220.399    14 16
5442   1245.8602 174.73512    14 16
5443   1554.9148 741.5703    6 16
5444   570.8446 223.07408    14 16
5445   262.82635 1824.1141    6 16
5446   1779.3733 196.86765    14 16
5447   1054.0144 1994.737    4 16
5448   1062.8324 459.9634    14 16
5449   1392.8213 1432.9857    18 16
5450   1851.7513 1920.9082    8 16
5451   1410.0658 1207.3066    8 16
5452   1647.5168 756.0195    18 16
5453   131.81763 1170.8544    8 16
5454   1010.3539 1007.9177    8 16
5455   962.1528 955.8727    8 16
5456   1234.1959 1682.723    8 16
5457   873.291 769.0846    8 16
5458   1297.2195 1180.1055    8 16
5459   824.19604 1576.4377    8 16
5460   399.1035 52.53057    14 16
5461   965.3795 2110.7607    8 16
5462   1245.8373 1397.0385    6 16
5463   130.38898 1974.6866    12 16
5464   1203.1719 1386.3467    2 16
5465   499.26547 2044.2756    6 16
5466   890.6732 1804.0767    6 16
5467   264.06445 912.397    4 16
5468   1064.1598 110.34964    8 16
5469   1145.2915 615.7221    14 16
5470   214.98698 1401.3049    6 16
5471   1060.9752 2274.5205    14 16
5472   1481.673 299.34454    14 16
5473   547.63684 1710.1604    12 16
5474   1481.2404 392.28058    14 16
5475   1489.942 878.9854    8 16
5476   526.1598 1751.5745    6 16
5477   1707.0166 44.2099    8 16
5478   791.001 863.35486    14 16
5479   1693.5972 967.37946    14 16
5480   363.29584 1348.6563    14 16
5481   534.93774 1488.8651    14 16
5482   1037.5833 1746.5198    8 16
5483   1240.8467 1918.4609    18 16
5484   1295.1299 1010.882    8 16
5485   659.6023 1728.418    10 16
5486   1154.4476 1772.6738    4 16
5487   1428.2676 832.3498    10 16
5488   863.3998 1526.0961    14 16
5489   623.40454 497.29205    14 16
5490   822.2468 683.9734    8 16
5491   1212.4365 1534.1923    14 16
5492   85.988174 870.25684    12 16
5493   674.87604 1920.4265    14 16
5494   1725.5796 1124.6246    8 16
5495   722.61426 680.0193    14 16
5496   1751.0436 955.03253    14 16
5497   36.780525 1056.95    8 16
5498   1073.5002 900.2857    2 16
5499   1131.33 551.9832    8 16
5500   1335.7347 760.42004    6 16
5501   426.18915 2234.2202    14 16
5502   1364.9469 2285.1646    18 16
5503   82.51727 1376.2336    8 16
5504   866.32904 966.5734    6 16
5505   1304.9707 2298.6528    8 16
5506   865.943 432.0036    6 16
5507   1394.6842 1144.0671    8 16
5508   615.04004 263.0879    4 16
5509   724.3036 538.6754    6 16
5510   962.8932 1623.2727    8 16
5511   410.94666 814.2734    14 16
5512   1240.2031 -3.9394903    8 16
5513   1298.394 216.33371    8 16
5514   622.1927 273.45526    8 16
5515   477.7287 1968.1895    6 16
5516   1576.2295 148.55725    8 16
5517   503.4184 2145.2373    8 16
5518   342.13007 83.27637    12 16
5519   1662.8771 460.8841    8 16
5520   1782.9741 330.20813    8 16
5521   1529.5808 211.58167    14 16
5522   824.6977 374.2845    6 16
5523   1546.8796 1662.7268    14 16
5524   1619.6082 495.3614    8 16
5525   1821.522 1601.7848    14 16
5526   944.5377 1115.3783    8 16
5527   1390.8564 2065.708    18 16
5528   464.3286 632.76917    6 16
5529   1334.0938 1866.1418    8 16
5530   244.547 1314.8813    6 16
5531   260.38123 459.84787    12 16
5532   1276.6089 1405.5369    14 16
5533   1662.5876 375.0639    14 16
5534   502.25958 96.74617    12 16
5535   1532.7002 161.17245    14 16
5536   150.10977 1730.718    8 16
5537   990.32806 857.7706    8 16
5538   1033.8981 1816.2747    8 16
5539   17.437775 1618.338    8 16
5540   827.64856 2304.167    14 16
5541   211.12474 152.18552    12 16
5542   1277.078 2113.4402    6 16
5543   1605.9509 2231.7744    10 16
5544   35.922295 2316.1284    14 16
5545   457.42325 1087.3118    2 16
5546   -0.5520282 1856.2312    14 16
5547   1824.3933 1841.7107    8 16
5548   843.4602 979.40894    14 16
5549   525.37036 319.6478    2 16
5550   462.90527 1082.5002    6 16
5551   1161.3124 2013.1996    18 16
5552   608.37573 1169.5234    6 16
5553   691.4265 555.93774    12 16
5554   1070.9934 890.07104    8 16
5555   1862.1423 400.8652    14 16
5556   82.259575 983.05585    8 16
5557   837.9153 1825.8356    8 16
5558   317.19684 967.48254    12 16
5559   90.969154 791.8254    12 16
5560   310.87463 1685.4136    6 16
5561   1356.498 425.55566    8 16
5562   1827.1533 28.494377    8 16
5563   1532.6147 443.50452    14 16
5564   1846.2834 1510.522    18 16
5565   1193.4036 447.64063    14 16
5566   370.50662 1181.1274    6 16
5567   1142.9375 47.959415    14 16
5568   1546.3016 1776.8899    14 16
5569   893.5294 1940.9102    8 16
5570   1300.3232 806.5426    8 16
5571   849.8933 812.6649    12 16
5572   1212.3577 14.840364    8 16
5573   1340.4102 1691.2394    8 16
5574   1133.815 953.48517    6 16
5575   709.92847 2215.4675    6 16
5576   203.99539 2112.033    8 16
5577   1224.9213 357.62042    14 16
5578   1033.1409 176.31412    8 16
5579   1134.3494 2114.2783    8 16
5580   1112.2369 702.4777    8 16
5581   1404.346 138.4332    10 16
5582   310.84692 1906.2252    6 16
5583   1512.5823 338.84363    6 16
5584   1093.3258 851.9518    14 16
5585   1114.1301 922.6534    8 16
5586   1353.6067 1201.3044    6 16
5587   1828.3383 2158.359    4 16
5588   559.22345 1751.5745    6 16
5589   134.41187 1848.2646    6 16
5590   692.3407 2315.491    6 16
5591   1319.189 635.04535    8 16
5592   848.6338 591.3004    12 16
5593   305.24023 767.5936    14 16
5594   239.42667 1222.4523    6 16
5595   667.9032 919.0718    2 16
5596   841.89526 877.10864    14 16
5597   1180.1875 363.04053    8 16
5598   578.9501 772.5027    12 16
5599   707.86914 1849.3167    8 16
5600   676.0212 735.6638    8 16
5601   1267.1265 551.6647    8 16
5602   1199.5847 1868.6112    6 16
5603   236.83249 1332.1293    6 16
5604   497.7229 2304.1958    8 16
5605   27.340948 1334.9232    6 16
5606   203.59439 1315.2776    6 16
5607   1722.7461 1086.3367    8 16
5608   1020.45715 1774.1697    4 16
5609   1771.7676 529.9264    8 16
5610   517.25806 1747.5303    6 16
5611   1779.0778 1235.2339    14 16
5612   -1.3770332 1448.7356    18 16
5613   66.40342 2112.2595    8 16
5614   1531.1199 2033.2924    14 16
5615   1349.1145 181.23132    6 16
5616   846.92554 1311.8634    14 16
5617   1691.3342 143.4459    14 16
5618   1409.4576 1560.77    8 16
5619   1534.2668 998.1244    8 16
5620   327.25897 1180.4346    6 16
5621   1422.1715 1812.5375    14 16
5622   231.77374 1490.8436    6 16
5623   426.39105 34.656754    14 16
5624   1234.7761 1902.752    4 16
5625   1713.8728 1996.115    6 16
5626   1866.3226 1763.6426    18 16
5627   1607.553 734.6144    8 16
5628   495.80804 810.15314    8 16
5629   1099.8921 1239.0527    14 16
5630   1191.5061 2191.818    18 16
5631   893.5719 1967.4692    6 16
5632   82.98006 1777.9612    14 16
5633   890.81165 1461.8591    8 16
5634   518.12476 401.38    14 16
5635   899.6321 1595.322    14 16
5636   897.5528 2305.0132    8 16
5637   1353.0944 1133.4678    8 16
5638   1465.4152 772.44025    14 16
5639   343.57214 1740.8322    6 16
5640   1591.3455 2084.6987    14 16
5641   377.6433 142.59747    8 16
5642   886.42236 1780.8342    18 16
5643   358.2729 1944.1093    12 16
5644   1245.3193 757.56213    8 16
5645   1709.3936 2136.5107    8 16
5646   38.073776 491.6765    8 16
5647   1537.7012 351.56882    6 16
5648   748.59985 171.36832    6 16
5649   1324.4115 411.5819    8 16
5650   893.3539 1155.0305    6 16
5651   1769.8992 846.0775    8 16
5652   1148.2119 1014.33466    8 16
5653   957.90564 98.97965    14 16
5654   870.058 2143.3008    14 16
5655   816.8522 1874.9246    6 16
5656   1453.5598 2195.9282    8 16
5657   135.0982 1201.5847    18 16
5658   1317.2168 263.4782    8 16
5659   1199.1432 110.58862    14 16
5660   407.4662 1313.4788    8 16
5661   1419.9736 2249.6528    14 16
5662   302.6336 1906.2252    8 16
5663   972.828 1099.4246    14 16
5664   456.1081 1277.559    14 16
5665   1273.078 2087.3223    14 16
5666   1870.8296 1646.5442    14 16
5667   1500.6101 195.548    14 16
5668   1142.8235 1382.0938    14 16
5669   340.72214 639.8214    10 16
5670   322.18744 165.94365    6 16
5671   1119.365 1085.2047    8 16
5672   1154.4476 1790.9979    4 16
5673   1635.9951 112.379456    8 16
5674   1852.3096 1843.5115    8 16
5675   881.4706 1788.3252    4 16
5676   1852.0779 1194.6476    14 16
5677   1625.321 2107.7803    8 16
5678   765.2999 1303.9269    8 16
5679   1847.0685 145.84824    14 16
5680   894.245 1234.4043    14 16
5681   151.23425 1939.1001    6 16
5682   1331.9137 577.4241    8 16
5683   1035.0049 1052.3456    8 16
5684   1270.3213 2102.1226    14 16
5685   447.5782 866.91125    14 16
5686   1338.3254 1819.3242    8 16
5687   1811.5394 965.5091    8 16
5688   1422.1715 1839.4032    14 16
5689   1493.7601 263.36444    8 16
5690   962.05054 1680.562    14 16
5691   863.9935 1815.5203    8 16
5692   244.93417 82.841835    12 16
5693   585.7251 1718.627    8 16
5694   792.92896 515.73315    14 16
5695   175.19023 2209.6228    12 16
5696   26.69329 1540.405    14 16
5697   95.43826 889.11835    6 16
5698   227.63837 223.6653    8 16
5699   1372.9182 1047.6748    8 16
5700   91.95744 1876.8679    12 16
5701   1086.3015 365.84094    8 16
5702   1260.3436 1813.6113    8 16
5703   609.57544 1897.2444    14 16
5704   1430.8323 873.16077    8 16
5705   1323.2501 1716.7834    2 16
5706   1456.85 1917.9924    14 16
5707   400.4238 1337.2352    6 16
5708   893.48773 280.6333    8 16
5709   794.444 2250.416    14 16
5710   289.62082 951.784    6 16
5711   1223.3354 59.27333    14 16
5712   767.3548 1448.2042    18 16
5713   1135.6414 2318.751    8 16
5714   703.272 2081.1387    12 16
5715   860.664 33.87197    14 16
5716   302.7672 1417.0673    6 16
5717   1779.0903 0.11792374    14 16
5718   49.878433 1127.8689    12 16
5719   1033.6873 682.1007    14 16
5720   115.88551 1913.6394    6 16
5721   1566.2375 2273.3584    6 16
5722   48.898727 2264.5972    12 16
5723   926.56586 379.44    14 16
5724   1499.3721 1449.0825    14 16
5725   931.9021 352.30447    8 16
5726   1287.9421 458.15332    4 16
5727   1437.7074 334.27133    14 16
5728   914.0475 811.3949    14 16
5729   227.51125 1889.3043    10 16
5730   1454.3115 -3.7869911    8 16
5731   1707.4027 547.76056    18 16
5732   236.33318 1853.8981    6 16
5733   707.47766 731.88464    12 16
5734   1263.4426 1441.1349    6 16
5735   319.1921 94.17943    6 16
5736   1840.8564 1201.0911    8 16
5737   762.5317 517.31274    14 16
5738   1878.7988 1919.6797    6 16
5739   1612.5973 857.7007    8 16
5740   396.5282 1738.963    14 16
5741   324.0871 1233.3741    8 16
5742   288.7469 830.86536    8 16
5743   560.7071 1723.2655    6 16
5744   490.44965 1576.8304    8 16
5745   1620.1583 2048.5615    14 16
5746   1817.9475 2333.1284    14 16
5747   260.16785 261.88818    6 16
5748   1710.8513 1987.7509    2 16
5749   1298.7086 405.4731    8 16
5750   170.89426 411.61877    12 16
5751   693.6212 2206.6372    6 16
5752   500.8877 887.87854    14 16
5753   212.68112 1336.7299    6 16
5754   878.8771 1526.0961    8 16
5755   1609.5491 976.8993    8 16
5756   1773.2858 1992.9287    6 16
5757   919.2614 11.327206    8 16
5758   63.59375 32.67661    12 16
5759   539.97815 1509.4963    8 16
5760   309.74615 586.1809    14 16
5761   203.9664 363.63843    6 16
5762   1330.843 805.64355    8 16
5763   811.0835 126.024445    6 16
5764   475.4717 1055.0779    6 16
5765   1168.7668 1479.3718    6 16
5766   115.665596 17.132515    14 16
5767   247.58496 441.7292    12 16
5768   502.91992 2076.3171    18 16
5769   703.13794 2181.769    6 16
5770   161.08676 2212.459    12 16
5771   1493.0256 2031.8599    8 16
5772   492.04947 751.75574    12 16
5773   1500.9755 282.59927    14 16
5774   1835.6421 1138.4966    8 16
5775   4.800167 975.29297    14 16
5776   1779.9741 342.36566    14 16
5777   930.15173 2066.7507    18 16
5778   716.96875 1573.471    6 16
5779   1795.3809 1342.8701    14 16
5780   29.80494 750.3529    14 16
5781   1165.6659 1382.0938    14 16
5782   212.95898 1723.5803    8 16
5783   1293.8021 1422.0007    6 16
5784   190.2977 586.29584    6 16
5785   1310.2109 29.84681    8 16
5786   87.070755 1069.763    14 16
5787   1766.6973 1226.4883    8 16
5788   1554.7952 1413.5    14 16
5789   526.3404 272.83148    8 16
5790   560.28564 528.5687    14 16
5791   1400.0529 888.80664    6 16
5792   1057.4974 486.01312    2 16
5793   1172.7827 466.18304    14 16
5794   1837.5728 956.2816    6 16
5795   1390.3857 124.398315    6 16
5796   851.24915 1462.5313    6 16
5797   1146.5736 1493.6802    14 16
5798   1597.1313 1619.2446    14 16
5799   1530.5276 126.25586    14 16
5800   509.67932 462.7149    14 16
5801   1885.4502 1863.7822    2 16
5802   705.5829 1008.33997    10 16
5803   131.37036 30.965141    8 16
5804   391.63193 1878.3501    12 16
5805   1735.0392 1761.9426    14 16
5806   129.80792 81.60765    12 16
5807   1853.0414 1932.4742    8 16
5808   346.4596 651.5941    6 16
5809   1008.74805 228.65067    6 16
5810   61.598602 659.8734    14 16
5811   1572.2686 614.0265    6 16
5812   130.61867 2043.0483    14 16
5813   863.9012 -3.5026402    8 16
5814   505.58243 824.7724    6 16
5815   446.85153 239.98878    8 16
5816   71.88125 482.8799    12 16
5817   1781.0247 1720.1099    14 16
5818   162.72266 493.97937    8 16
5819   273.1136 1810.0184    14 16
5820   228.85883 1326.9338    6 16
5821   1262.944 753.4717    14 16
5822   1157.3765 496.42508    18 16
5823   982.3789 1295.7834    8 16
5824   429.68674 262.77686    6 16
5825   879.20264 2014.574    6 16
5826   943.583 278.68042    8 16
5827   1618.9431 366.57513    14 16
5828   1019.286 437.7752    14 16
5829   440.1635 1571.7051    6 16
5830   1674.1345 230.85544    14 16
5831   1406.0437 632.2528    8 16
5832   1043.343 563.8409    8 16
5833   142.13287 1816.9675    8 16
5834   1422.9167 59.408142    8 16
5835   1221.5286 1559.7859    6 16
5836   1674.6136 1031.2183    14 16
5837   1043.8042 597.8008    14 16
5838   486.98016 93.147736    12 16
5839   340.48727 629.7154    6 16
5840   566.29297 1585.1665    18 16
5841   1632.563 1996.0436    2 16
5842   1575.8499 1044.8245    8 16
5843   740.46277 431.79852    6 16
5844   1758.7637 1170.4762    14 16
5845   1035.5889 902.118    6 16
5846   1753.6595 1044.248    8 16
5847   1554.5986 2337.0198    2 16
5848   39.876137 57.37751    8 16
5849   87.457504 450.52295    12 16
5850   459.8894 150.80219    12 16
5851   820.49316 1377.124    6 16
5852   1358.4336 1495.147    14 16
5853   148.17499 2317.4595    8 16
5854   761.40344 617.2905    14 16
5855   1581.1868 647.915    6 16
5856   793.7889 401.41846    10 16
5857   1635.1635 1998.1106    14 16
5858   525.3331 797.4203    8 16
5859   1668.1793 176.63245    8 16
5860   -0.87452126 1390.2727    18 16
5861   1871.257 463.92065    8 16
5862   505.58243 833.8055    6 16
5863   274.40985 146.78555    6 16
5864   461.37238 1160.7852    8 16
5865   142.49918 1144.9119    14 16
5866   1824.6492 861.23724    6 16
5867   726.3137 1485.8481    18 16
5868   1197.943 1080.707    8 16
5869   1130.4111 83.39811    8 16
5870   38.393127 1657.4376    14 16
5871   687.80176 1320.7148    14 16
5872   780.0358 678.8238    14 16
5873   363.67035 275.93826    6 16
5874   567.6394 2078.5483    18 16
5875   822.7135 298.94482    8 16
5876   1161.5801 2104.6323    18 16
5877   1809.3461 2316.6626    8 16
5878   1518.313 584.5416    6 16
5879   1727.2278 1432.1772    8 16
5880   586.28174 1068.935    8 16
5881   613.3533 1199.5876    8 16
5882   1156.9102 175.29715    14 16
5883   1558.0638 1711.9313    8 16
5884   613.14417 2077.7852    18 16
5885   473.9261 316.88342    10 16
5886   1757.813 984.5282    8 16
5887   1469.6624 832.3498    10 16
5888   415.97852 30.620731    8 16
5889   6.7606964 860.4577    14 16
5890   281.4794 388.81885    12 16
5891   78.5692 398.47876    8 16
5892   445.42917 2204.6587    12 16
5893   1032.7148 972.6467    14 16
5894   322.8592 194.61002    4 16
5895   1569.3696 1268.7961    14 16
5896   865.7235 339.5243    6 16
5897   699.5953 2114.872    10 16
5898   685.5691 169.14398    14 16
5899   561.72327 139.11829    12 16
5900   359.8094 940.8091    8 16
5901   1879.7292 1872.3818    6 16
5902   1848.6254 647.30963    8 16
5903   407.4807 1891.9788    12 16
5904   1159.9143 1279.0214    14 16
5905   1399.1042 1817.5581    6 16
5906   1217.0298 781.6448    8 16
5907   333.30353 1688.9331    8 16
5908   1367.9408 171.67691    6 16
5909   612.959 1017.0996    14 16
5910   597.1918 1357.1035    2 16
5911   1563.5444 381.6869    2 16
5912   901.8735 568.6089    14 16
5913   64.10587 224.354    12 16
5914   1001.86975 830.25433    8 16
5915   987.56244 1839.6619    8 16
5916   1458.5413 529.66125    8 16
5917   1642.1108 1266.2109    8 16
5918   692.8767 1578.9199    8 16
5919   865.6396 1453.8193    8 16
5920   1457.8943 110.49087    14 16
5921   1751.1482 375.0639    14 16
5922   142.20479 2246.807    14 16
5923   1453.0461 966.53156    6 16
5924   1186.3254 1376.939    8 16
5925   374.98016 252.41925    6 16
5926   1450.2031 991.68896    14 16
5927   571.7079 707.557    6 16
5928   154.79523 1544.8942    14 16
5929   366.9754 2274.9004    12 16
5930   1351.3923 546.06793    8 16
5931   1736.6782 391.82666    8 16
5932   1662.4462 246.34172    14 16
5933   588.32886 2311.317    8 16
5934   1766.52 1740.8911    14 16
5935   457.87598 672.1749    8 16
5936   1316.336 144.23508    8 16
5937   1782.6357 910.33527    6 16
5938   929.32947 2283.8755    18 16
5939   537.9822 1007.9916    12 16
5940   389.52924 1939.7893    6 16
5941   91.29577 2282.7114    12 16
5942   853.24786 393.58182    8 16
5943   186.5386 443.69324    14 16
5944   514.57764 1629.459    6 16
5945   1677.3511 2029.8942    8 16
5946   1678.9827 721.1075    14 16
5947   1677.8542 1288.1719    14 16
5948   1870.031 1802.9702    4 16
5949   1842.8542 2320.456    14 16
5950   1453.1971 2035.822    14 16
5951   1196.1836 356.9856    6 16
5952   94.642166 1631.2327    6 16
5953   997.5158 1238.115    14 16
5954   536.6826 2280.2524    14 16
5955   770.6124 2159.7612    12 16
5956   365.06696 1132.2683    8 16
5957   1558.279 1321.4498    8 16
5958   1836.812 1932.4742    14 16
5959   4.985173 325.5265    14 16
5960   739.0637 136.85709    2 16
5961   969.62915 2047.978    8 16
5962   159.72047 1632.9402    6 16
5963   303.9382 1173.518    4 16
5964   1130.5701 1037.2896    8 16
5965   1838.8516 533.29706    8 16
5966   879.07654 1090.9812    8 16
5967   567.1659 2208.6025    12 16
5968   125.31131 2228.0923    14 16
5969   1193.1392 2102.87    20 16
5970   184.0463 295.29547    14 16
5971   889.1144 461.26007    14 16
5972   946.8258 664.27734    8 16
5973   837.1586 1913.5281    10 16
5974   823.1488 1843.9556    8 16
5975   527.4551 2337.8306    8 16
5976   164.84088 1863.7666    14 16
5977   993.4608 57.171013    8 16
5978   1871.6337 740.3334    18 16
5979   11.920303 479.9421    14 16
5980   370.3581 944.35187    14 16
5981   1826.4778 198.17076    8 16
5982   466.32623 1764.1396    6 16
5983   613.92737 2244.7393    14 16
5984   1021.0237 1659.3999    14 16
5985   740.9105 677.1665    8 16
5986   593.3462 1149.4182    6 16
5987   416.16327 1487.802    6 16
5988   1553.3428 564.5261    8 16
5989   1452.0929 260.24402    14 16
5990   1634.3616 1635.7957    8 16
5991   1400.914 1204.9426    6 16
5992   177.23842 129.22958    6 16
5993   1575.6876 783.2746    6 16
5994   1270.8901 1723.5625    14 16
5995   849.07166 1377.8569    8 16
5996   1463.1835 704.4074    18 16
5997   1556.5137 1153.0464    8 16
5998   1754.1687 1628.928    8 16
5999   1086.0591 1933.9202    8 16
6000   1879.5522 1354.4858    8 16
6001   493.0292 603.71814    6 16
6002   1575.3071 14.531504    14 16
6003   551.90875 1801.8824    8 16
6004   503.4184 2110.834    8 16
6005   754.43274 66.629684    12 16
6006   748.03 659.40356    8 16
6007   1284.4824 2161.4268    14 16
6008   0.6570325 1709.2849    8 16
6009   56.25483 899.28876    12 16
6010   955.66266 1664.4463    8 16
6011   230.90445 496.17026    8 16
6012   1663.6312 270.81396    14 16
6013   730.59375 1953.7053    18 16
6014   1872.502 1096.8303    14 16
6015   1288.2383 1472.2156    8 16
6016   571.7079 786.7239    6 16
6017   509.22644 1349.1819    8 16
6018   385.89355 661.99866    12 16
6019   723.51794 2196.335    6 16
6020   447.5254 1593.2314    8 16
6021   268.5325 1524.897    18 16
6022   1312.5264 288.44476    2 16
6023   726.9618 2006.0537    6 16
6024   467.9265 204.7182    8 16
6025   441.96906 2186.2285    12 16
6026   76.13841 257.05817    14 16
6027   965.553 1250.9763    8 16
6028   1097.0167 1262.647    14 16
6029   890.19995 130.48355    12 16
6030   1824.9089 898.5702    6 16
6031   340.7088 1454.9668    6 16
6032   1822.7786 114.22476    8 16
6033   1210.9812 2248.8726    14 16
6034   155.41885 1272.6667    2 16
6035   1487.6611 908.1373    6 16
6036   929.08044 1739.9111    18 16
6037   1531.0737 83.326225    8 16
6038   861.3266 640.74963    8 16
6039   1762.916 649.16656    18 16
6040   1846.027 1715.095    2 16
6041   1131.9358 1719.9417    8 16
6042   1362.6609 2192.2676    8 16
6043   629.71716 1519.6956    14 16
6044   1749.239 2211.875    14 16
6045   457.0627 1150.642    4 16
6046   82.39362 1467.6259    8 16
6047   1723.083 684.5117    14 16
6048   794.4978 132.93234    12 16
6049   1639.6245 2289.0889    2 16
6050   357.61353 1079.6538    6 16
6051   522.085 1506.9897    8 16
6052   426.06302 1504.2505    14 16
6053   212.548 204.54999    14 16
6054   1174.1576 1632.1096    8 16
6055   703.3685 1335.1044    14 16
6056   109.8989 120.42424    12 16
6057   643.54376 2225.166    6 16
6058   1453.3241 1949.9473    14 16
6059   616.00745 757.56067    12 16
6060   1139.1725 888.55194    14 16
6061   1825.5737 1220.9559    8 16
6062   1319.8059 61.85279    8 16
6063   1288.4155 2227.7964    14 16
6064   1315.3423 2178.6284    18 16
